company,word_count,env_raw,soc_raw,gov_raw,env_score,soc_score,gov_score,combined_esg_score,top_env_keywords,top_soc_keywords,top_gov_keywords
ADANI ENERGY SOLUTIONS,84161,650,389,776,87.51,89.6,88.33,89.25,"biodiversity, renewable energy, greenhouse gas, climate change, ghg emissions","occupational health, inclusion, stakeholder engagement, employee wellbeing, employee engagement","gri, compliance, disclosure, transparency, risk management"
JUBILANT INGREVIA LTD,34796,391,255,316,91.29,84.52,81.75,87.62,"biodiversity, scope 1, renewable energy, hazardous waste, ghg emissions","social impact, occupational health, inclusion, stakeholder engagement, grievance redressal","compliance, gri, annual report, transparency, assurance"
DCM SHRIRAM LTD,42073,352,166,532,90.59,77.3,87.96,86.69,"biodiversity, renewable energy, climate change, ecosystem, energy efficiency","occupational health, ltifr, dei, human capital, inclusion","gri, assurance, compliance, risk management, brsr"
ASHOK LEYLAND LTD_FY2023-24,41073,337,175,523,89.5,78.59,84.15,85.62,"energy consumption, renewable energy, ecosystem, hazardous waste, scope 1","inclusion, occupational health, gender diversity, customer satisfaction, corporate social responsibility","compliance, gri, annual report, assurance, brsr"
MRPL,18803,253,125,250,87.81,79.7,81.85,84.62,"biodiversity, waste management, net zero, scope 1, energy management","occupational health, stakeholder engagement, community development, inclusion, collective bargaining","gri, compliance, materiality assessment, risk management, board of directors"
HSCL_20052025173733_BRSRFY202425,60062,414,262,452,82.86,87.08,80.05,84.27,"climate change, waste management, energy consumption, scope 1, circular economy","occupational health, inclusion, workplace safety, dei, stakeholder engagement","compliance, annual report, transparency, code of conduct, risk management"
WELSPUN LIVING LTD,32707,305,107,485,90.08,67.13,87.25,83.13,"renewable energy, biodiversity, hazardous waste, ghg emissions, scope 1","inclusion, stakeholder engagement, occupational health, social impact, supplier code of conduct","ceo, disclosure, transparency, compliance, assurance"
SBIN_26062025191305_mergedDSC,92221,522,514,823,75.38,86.8,88.33,83.04,"scope 1, renewable energy, scope 2, climate change, waste generated","human capital, stakeholder engagement, inclusion, customer satisfaction, grievance redressal","gri, compliance, assurance, risk management, brsr"
USHA MARTIN LTD,29818,260,118,293,87.07,76.28,81.1,83.04,"scope 1, scope 3, waste management, biodiversity, scope 2","occupational health, freedom of association, collective bargaining, customer satisfaction, equal opportunity","compliance, assurance, gri, disclosure, code of conduct"
CRAFTSMAN AUTOMATION LTD,26975,216,168,327,81.49,82.71,81.44,82.67,"renewable energy, waste management, biodiversity, energy consumption, ghg emissions","occupational health, corporate social responsibility, stakeholder engagement, inclusion, data privacy","compliance, gri, board of directors, risk management, transparency"
BIRLASOFT LTD,45997,288,202,565,77.56,82.13,87.73,82.4,"renewable energy, energy management, e-waste, waste management, scope 2","inclusion, stakeholder engagement, data privacy, corporate social responsibility, occupational health","gri, compliance, risk management, disclosure, transparency"
PIIND_21072025195914_BRSR_2025_signed,22644,216,78,241,87.31,65.58,79.24,79.35,"waste generated, hazardous waste, water consumption, waste management, waste disposed","occupational health, inclusion, grievance redressal, equal opportunity, social impact","annual report, assurance, compliance, reasonable assurance, code of conduct"
ZENSARTECH_01072025181715_SEIntimationBRSRF,24404,172,124,270,76.79,80.88,78.76,79.34,"energy consumption, scope 1, hazardous waste, scope 2, water withdrawal","grievance redressal, supplier code of conduct, inclusion, corporate social responsibility, community development","assurance, annual report, compliance, brsr, code of conduct"
FIRSTSOURCE SOLUTIONS LTD,20698,152,101,166,78.97,78.58,75.26,78.67,"scope 2, scope 1, e-waste, water withdrawal, energy efficiency","grievance redressal, equal opportunity, occupational health, data privacy, inclusion","compliance, annual report, assurance, brsr, code of conduct"
SUZLON1_29082025214547_Business_Responsibility_and_Sustainability_Report,28760,255,98,267,86.17,65.14,77.89,78.36,"scope 1, carbon footprint, renewable energy, scope 2, scope 3","grievance redressal, stakeholder engagement, inclusion, social impact, corporate social responsibility","assurance, annual report, brsr, compliance, materiality assessment"
ITC HOTELS LIMITED,102316,861,207,764,90.75,55.09,81.84,78.29,"biodiversity, ghg emissions, climate change, waste management, ecosystem","occupational health, inclusion, women empowerment, stakeholder engagement, human capital","assurance, gri, compliance, chairman, limited assurance"
MPHASIS_01072025191435_SubmissionofBRSR2025,20501,175,72,199,84.97,64.46,78.64,77.82,"scope 1, energy consumption, waste generated, scope 2, ghg emissions","inclusion, child labor, data privacy, supplier code of conduct, customer satisfaction","annual report, assurance, brsr, compliance, disclosure"
PCBL CHEMICAL LTD,35928,269,134,297,80.8,70.58,77.68,77.63,"ghg emissions, waste management, water consumption, scope 1, hazardous waste","occupational health, ltifr, supplier code of conduct, lost time injury, fatalities","gri, compliance, assurance, risk management, code of conduct"
