company,folder_name,total_articles,incident_count,raw_incident_risk_score,environmental_articles,environmental_risk,social_articles,social_risk,governance_articles,governance_risk,final_weighted_esg_score,article_age_days_avg,article_age_days_environmental_avg,article_age_days_social_avg,article_age_days_governance_avg,time_weight_avg,time_weight_environmental_avg,time_weight_social_avg,time_weight_governance_avg,severity_avg,severity_environmental_avg,severity_social_avg,severity_governance_avg,environmental_weight,social_weight,governance_weight,environmental_raw_score,social_raw_score,governance_raw_score,raw_score,environmental_weighted_score,social_weighted_score,governance_weighted_score,final_walk_esg_risk,data_coverage_flag,final_walk_esg_score
360 ONE WAM LTD,360_ONE_WAM_LTD,21,0,0.0,7,0.0,7,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.31,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_negative_incidents_found,0.0
3M INDIA LTD,3M_INDIA_LTD,21,0,0.0,7,0.0,7,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.31,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_negative_incidents_found,0.0
AADHAR HOUSING FINANCE LTD,AADHAR_HOUSING_FINANCE_LTD,21,0,0.0,7,0.0,7,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.31,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_negative_incidents_found,0.0
AARTI INDUSTRIES LIMITED,AARTI_INDUSTRIES_LIMITED,21,0,0.0,7,0.0,7,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.31,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_negative_incidents_found,0.0
AAVAS FINANCIERS LTD,AAVAS_FINANCIERS_LTD,15,1,1.2622,7,0.0,7,0.0,1,1.2622,0.3282,63.0,0.0,0.0,63.0,0.8415,0.0,0.0,0.8415,0.1,0.0,0.0,1.5,0.44,0.31,0.26,0.0,0.0,1.2622,1.2622,0.0,0.0,0.3282,0.3282,incidents_found,0.3282
ABB INDIA LTD,ABB_INDIA_LTD,12,7,3.0608,7,3.0608,3,0.0,2,0.0,1.3468,575.7,671.71,351.67,0.0,0.3167,0.2736,0.4171,0.0,1.25,1.7143,1.0,0.0,0.44,0.31,0.26,3.0608,0.0,0.0,3.0608,1.3468,0.0,0.0,1.3468,incidents_found,1.3468
ABBOTT INDIA LTD,ABBOTT_INDIA_LTD,5,2,1.9969,0,0.0,2,1.9969,3,0.0,0.619,336.0,0.0,336.0,0.0,0.5223,0.0,0.5223,0.0,0.7,0.0,1.75,0.0,0.44,0.31,0.26,0.0,1.9969,0.0,1.9969,0.0,0.619,0.0,0.619,incidents_found,0.619
ACC LTD,ACC_LTD,5,0,0.0,5,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.31,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_negative_incidents_found,0.0
ACME SOLAR HOLDINGS LTD,ACME_SOLAR_HOLDINGS_LTD,9,2,3.6413,7,0.0,0,0.0,2,3.6413,0.9467,309.22,361.0,0.0,128.0,0.6298,0.6057,0.0,0.7144,1.2778,1.0,0.0,2.25,0.44,0.31,0.26,0.0,0.0,3.6413,3.6413,0.0,0.0,0.9467,0.9467,incidents_found,0.9467
ACTION CONSTRUCTION EQUIPMEN,ACTION_CONSTRUCTION_EQUIPMEN,1,0,0.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.31,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_negative_incidents_found,0.0
