Company_Name,Talk_E,Talk_S,Talk_G,Walk_E,Walk_S,Walk_G,Gap_E,Gap_S,Gap_G,Final_E,Final_S,Final_G,Final_ESG_Score,Confidence_Level,Risk_Flag
FEDERAL BANK LTD,0.7106,0.7575,0.7809,1.0,1.0,1.0,-0.2894,-0.24250000000000005,-0.21909999999999996,0.8842399999999999,0.903,0.9123600000000001,88.70855999999999,High,High Volatility
RELIANCE INDUSTRIES LIMITED,0.7826000000000001,0.5888,0.7885,0.9874,0.8143,1.0,-0.20479999999999998,-0.22550000000000003,-0.21150000000000002,0.9054800000000001,0.7241,0.9154,84.17322,High,High Volatility
BANK OF MAHARASHTRA,0.6713,0.4147,0.7265999999999999,1.0,0.979,1.0,-0.3287,-0.5643,-0.2734000000000001,0.86852,0.75328,0.8906399999999999,82.83256,High,High Volatility
TRENT LTD,0.7458,0.5700999999999999,0.7659,1.0,0.9742,0.6954,-0.2542,-0.4041,0.07050000000000001,0.89832,0.81256,0.705975,81.36481500000001,High,High Volatility
INDUSIND BANK LTD,0.6838,0.44689999999999996,0.6289,1.0,0.8868,1.0,-0.31620000000000004,-0.43990000000000007,-0.3711,0.87352,0.71084,0.85156,80.75992000000001,High,High Volatility
TATA STEEL LTD,0.5377000000000001,0.45799999999999996,0.6074,1.0,1.0,1.0,-0.46229999999999993,-0.542,-0.39259999999999995,0.81508,0.7832,0.84296,80.21672000000001,High,High Volatility
BASF INDIA LTD,0.6391,0.40950000000000003,0.6461,1.0,1.0,0.8939,-0.3609,-0.5905,-0.24780000000000002,0.85564,0.7638,0.79478,80.19546,High,High Volatility
BHARAT PETROLEUM CORP LTD,0.7784,0.6208,0.552,1.0,0.8299,0.8206,-0.22160000000000002,-0.20909999999999995,-0.26859999999999995,0.91136,0.7462599999999999,0.71316,80.0629,High,High Volatility
SHREE CEMENT LTD,0.2815,0.6701999999999999,0.7219,1.0,1.0,1.0,-0.7185,-0.3298000000000001,-0.2781,0.7126,0.86808,0.88876,79.48388,High,High Volatility
CENTRAL BANK OF INDIA,0.41340000000000005,0.46649999999999997,0.4781,1.0,1.0,1.0,-0.5866,-0.5335000000000001,-0.5219,0.76536,0.7866,0.7912399999999999,76.84143999999999,High,High Volatility
SWAN CORP LTD,0.4918,0.38549999999999995,0.6114999999999999,1.0,0.9017,1.0,-0.5082,-0.5162,-0.38850000000000007,0.79672,0.69522,0.8446,76.72250000000001,High,High Volatility
UCO BANK,0.46159999999999995,0.4014,0.39390000000000003,1.0,1.0,1.0,-0.5384,-0.5986,-0.6061,0.78464,0.76056,0.75756,76.04051999999999,High,High Volatility
ENGINEERS INDIA LTD,0.7898000000000001,0.3453,0.38130000000000003,1.0,0.6346,1.0,-0.21019999999999994,-0.28930000000000006,-0.6187,0.9159200000000001,0.51888,0.75252,74.19876000000001,High,High Volatility
NCC LTD,0.6575,0.6095,0.5356000000000001,1.0,0.5268,1.0,-0.3425,0.0827,-0.4643999999999999,0.863,0.539205,0.8142400000000001,74.043355,High,High Volatility
