company,word_count,total_chunks,env_chunks,soc_chunks,gov_chunks,env_score,soc_score,gov_score,combined_esg_score,env_positive,env_neutral,env_negative,soc_positive,soc_neutral,soc_negative,gov_positive,gov_neutral,gov_negative
PIRAMAL PHARMA LTD,888,9,3,5,1,91.47,74.18,52.02,76.25,0.8325,0.0838,0.0838,0.5682,0.2428,0.189,0.0742,0.8516,0.0742
ASHOK LEYLAND LTD_FY2023-24,40068,418,159,154,87,74.64,72.15,65.18,71.5,0.4112,0.4704,0.1184,0.3853,0.4725,0.1422,0.1763,0.7511,0.0727
BLS INTERNATIONAL LTD,17175,179,34,51,92,69.5,69.84,68.79,69.43,0.3237,0.5426,0.1337,0.3095,0.5777,0.1127,0.2632,0.6495,0.0873
HEXAWARE TECHNOLOGIES LTD,155532,1620,173,420,474,72.12,66.46,64.12,68.37,0.347,0.5485,0.1045,0.2219,0.6855,0.0926,0.1437,0.795,0.0613
CENTURY PLYBOARDS INDIA LTD,17219,180,59,56,48,73.72,65.72,61.43,68.17,0.3963,0.4818,0.1219,0.2233,0.6676,0.109,0.0992,0.8301,0.0707
NETWEB TECHNOLOGIES INDIA LTD,105601,1100,237,191,340,71.86,65.84,63.52,67.91,0.335,0.5673,0.0977,0.1888,0.7392,0.0721,0.1186,0.833,0.0483
USHA MARTIN LTD,29584,308,98,120,75,70.8,66.42,63.6,67.64,0.3375,0.541,0.1215,0.242,0.6444,0.1136,0.1526,0.7669,0.0805
BIRLASOFT LTD,45618,475,137,196,131,70.43,65.19,65.03,67.46,0.3352,0.5383,0.1265,0.2108,0.6822,0.107,0.1778,0.7452,0.0771
CRAFTSMAN AUTOMATION LTD,26918,281,81,99,88,71.49,66.31,61.21,67.31,0.3681,0.4936,0.1383,0.267,0.5922,0.1408,0.0966,0.8309,0.0725
INDUS TOWERS LTD,207747,2164,295,453,609,72.08,64.81,62.0,67.31,0.3507,0.5403,0.1091,0.1808,0.7346,0.0846,0.1027,0.8347,0.0626
JUBILANT INGREVIA LTD,34042,355,143,154,55,71.45,64.59,62.78,67.16,0.3466,0.5359,0.1176,0.2132,0.6654,0.1214,0.1446,0.7664,0.089
LTI_07052025122421_annualreportseintimation,203725,2122,284,510,559,69.53,67.09,62.81,67.09,0.2819,0.6269,0.0913,0.2419,0.658,0.1001,0.1182,0.8198,0.0621
DCM SHRIRAM LTD,41586,433,189,121,107,69.85,66.28,62.9,67.01,0.3179,0.5612,0.1209,0.2414,0.6429,0.1157,0.1406,0.7769,0.0825
DEVYANI INTERNATIONAL LTD,21000,219,55,83,65,69.88,66.29,62.71,66.97,0.3265,0.5445,0.1289,0.2444,0.637,0.1186,0.1571,0.7399,0.103
INDIAN HOTELS CO LTD,14404,150,55,51,29,68.67,67.4,61.8,66.56,0.2821,0.6093,0.1087,0.2745,0.599,0.1265,0.1353,0.7672,0.0975
MAHINDRA & MAHINDRA LTD,225817,2352,372,334,826,70.48,64.65,61.66,66.47,0.2903,0.629,0.0808,0.2011,0.6908,0.1081,0.0795,0.8743,0.0463
Zen Technologies,28803,300,79,121,93,68.51,67.44,61.62,66.46,0.3086,0.553,0.1384,0.2646,0.6196,0.1158,0.1148,0.8027,0.0825
WELSPUN LIVING LTD,32250,336,161,83,86,69.41,64.17,62.71,66.11,0.3283,0.5316,0.1401,0.2104,0.6625,0.127,0.1508,0.7525,0.0967
AADHAR HOUSING FINANCE LTD 24-25,133217,1388,98,160,468,68.99,65.37,61.9,66.1,0.245,0.6898,0.0653,0.1783,0.7506,0.071,0.0838,0.8704,0.0458
EXIDE INDUSTRIES LTD,163858,1707,305,325,499,70.84,63.06,60.97,65.96,0.3038,0.6093,0.0869,0.1446,0.772,0.0834,0.0725,0.8745,0.053
TATA STEEL LTD,274119,2856,573,459,572,68.98,65.37,61.17,65.91,0.3059,0.5678,0.1263,0.2318,0.6438,0.1244,0.0824,0.8587,0.0589
YESBANK_26072025195720_SE_Intimation_Integrated_Annual_Report-2024-25_signed,255664,2663,466,432,1050,68.64,65.14,62.08,65.91,0.2801,0.6126,0.1073,0.1863,0.7302,0.0835,0.1047,0.8323,0.0631
ADANI ENERGY SOLUTIONS,81925,854,308,330,184,68.43,63.33,64.37,65.83,0.2812,0.6062,0.1126,0.1834,0.6996,0.1169,0.1794,0.7287,0.0919
